書名	総合評価	戦法	著者	発行年月	難易度
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3586-3.htm"",""必至基本問題集"")"	B			2010年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3619-8.htm"",""将棋連盟文庫 羽生の頭脳(3) 最強矢倉"")"	A	四間飛車		2010年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3620-4.htm"",""週将ブックス 力をつける詰将棋3手5手"")"	B		週刊将棋	2010年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016181-4.htm"",""NHK将棋シリーズ 第59回NHK杯テレビ将棋トーナメント 勝敗を分けた次の一手"")"	D		NHK出版	2010年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3434-7.htm"",""イメージと読みの将棋観(2)"")"	A	四間飛車, 中飛車, 角換わり, 横歩取り, 三間飛車, 振り飛車		2010年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3493-4.htm"",""マイコミ将棋BOOKS 中村亮介の本格四間飛車"")"	A	四間飛車, 中飛車, 居飛車, 振り飛車		2010年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/978-4-262-10146-0.htm"",""羽生善治のみるみる強くなる 将棋 終盤の勝ち方 入門"")"	A		羽生善治	2010年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3553-5.htm"",""将棋連盟文庫 羽生の頭脳(2) 振り飛車破り"")"	B	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2010年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3419-4.htm"",""マイコミ将棋文庫SP 将棋・ひと目のさばき 軽さが身につく200問"")"	B	四間飛車, 居飛車, 中飛車	週刊将棋	2010年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3552-8.htm"",""将棋連盟文庫 羽生の頭脳(1) 四間飛車破り"")"	A	四間飛車, 居飛車, 振り飛車		2010年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3441-5.htm"",""変わりゆく現代将棋（下）"")"	S	四間飛車, 角換わり, 振り飛車, 三間飛車		2010年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3510-8.htm"",""SATO Yasumitsu's SHOGI 佐藤康光の石田流破り"")"	B	四間飛車, 居飛車, 三間飛車		2010年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89644/978-4-89644-738-5.htm"",""SUN-MAGAZINE MOOK 初心者でも必ず解ける詰将棋 羽生の一手詰 名人の脳の秘密 直観力・論理力・発想力がUPする！"")"	C			2010年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3492-7.htm"",""週将ブックス 手筋の隠れ家"")"	B	四間飛車, 振り飛車, 居飛車, 三間飛車	週刊将棋	2010年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75124-5.htm"",""パワーアップシリーズ 精選必至200問 実戦的な傑作問題集"")"	A			2010年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/398/4-398-23503-5.htm"",""米長上達シリーズ(3) 新・米長の次の一手"")"	C	居飛車		1988年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/4-14-016122-1.htm"",""NHK将棋シリーズ パワーアップ戦法塾"")"	C	四間飛車, 中飛車, 居飛車, 横歩取り		2004年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75131-3.htm"",""将棋最強ブックス 明快相振り飛車 勝てる！戦法集"")"	B	振り飛車, 三間飛車		2010年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3417-0.htm"",""マイコミ将棋BOOKS 必ず役立つプロの常識"")"	A			2009年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75123-8.htm"",""将棋パワーアップシリーズ 1手の違いを見抜く202問"")"	B	居飛車		2010年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-027-4.htm"",""最強将棋レクチャーブックス(5) 寄せの手筋200"")"	S			2010年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/978-4-262-10145-3.htm"",""羽生善治のみるみる強くなる 将棋 序盤の指し方 入門"")"	S	四間飛車, 振り飛車, 居飛車	羽生善治	2009年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/591/978-4-591-11034-8.htm"",""ぴょんぴょんしょうぎ"")"	B			2009年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-010-2.htm"",""王将ブックス ポケット版 ─居飛車シリーズ�W 棒銀・腰掛銀戦法"")"	C	角換わり, 居飛車		1966年	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/978-4-262-10144-6.htm"",""羽生善治のみるみる強くなる将棋入門 5ヵ条で勝ち方がわかる"")"	A		羽生善治	2009年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-011-0.htm"",""王将ブックス ポケット版 ─居飛車シリーズ�X 相懸り基本戦法"")"	C	角換わり, 居飛車		1967年	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-007-2.htm"",""王将ブックス ポケット版 ─居飛車シリーズ�T タテ歩取り戦法"")"	C	居飛車, 横歩取り		1975年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/309/978-4-309-27144-6.htm"",""読む将棋百科"")"	B	四間飛車, 角換わり		2009年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-055-2.htm"",""王将ブックス ポケット版 ―駒落ちシリーズ�X 香落ち必勝法"")"	B	四間飛車, 三間飛車			"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/398/4-398-23502-7.htm"",""米長上達シリーズ(2) 振飛車の極意"")"	C	四間飛車, 居飛車, 中飛車, 三間飛車		1988年1月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-066-8.htm"",""王将ブックス ポケット版 ─ 特殊戦法シリーズI 中段飛車宇宙戦法"")"	B	三間飛車, 中飛車, 横歩取り		1975年	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0338-2.htm"",""Perfect Series 康光流現代矢倉�V 急戦編"")"	B	四間飛車, 中飛車		1997年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/398/4-398-23501-9.htm"",""米長上達シリーズ(1) 矢倉戦の攻防"")"	B			1988年1月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89287/4-89287-068-4.htm"",""王将ブックス ポケット版 ─ 特殊戦法シリーズ�V 魚釣り戦法右四間飛車"")"	B	四間飛車, 角換わり, 居飛車, 中飛車		1974年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/398/4-398-23505-1.htm"",""米長上達シリーズ(5) 詰将棋上達術"")"	B			1988年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-2277-1.htm"",""一二三の玉手箱"")"	B	四間飛車, 振り飛車, 角換わり, 三間飛車, 中飛車		2007年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-620004-3093.htm"",""ミニミニブックシリーズ 将棋教室(4) 攻めの振飛車"")"	C	居飛車, 中飛車, 四間飛車, 三間飛車		1979年1月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/398/4-398-23504-3.htm"",""米長上達シリーズ(4) 奇襲戦の極意"")"	C	四間飛車, 角換わり, 居飛車, 中飛車		1988年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-620003-3093.htm"",""ミニミニブックシリーズ 将棋教室(3) 実戦振飛車次の一手"")"	C	居飛車		1978年12月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-620002-3093.htm"",""ミニミニブックシリーズ 将棋教室(2) 実戦居飛車次の一手"")"	C	居飛車		1978年12月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3332-6.htm"",""1手詰ハンドブック"")"	B			2009年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-620009-3093.htm"",""ミニミニブックシリーズ 将棋教室(9) 将棋実力診断（戦局別）"")"	C	居飛車		1979年1月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-1540-7.htm"",""新・プロの将棋シリーズ(1) 加藤流最強三間飛車撃破"")"	C	四間飛車, 居飛車, 振り飛車, 三間飛車, 中飛車		2004年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-620001-3093.htm"",""ミニミニブックシリーズ 将棋教室(1) 鉄壁穴熊戦法"")"	C	居飛車		1978年12月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/7816/978-4-7816-0263-9.htm"",""プロフェッショナル仕事の流儀 コミック版 「勝負」に挑む者たち 棋士 羽生善治 サッカー日本代表 中澤佑二 騎手 武豊"")"	D			2009年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/584/4-584-00298-3.htm"",""ベストセラーシリーズ〈ワニの本〉 ヘボ将棋に強い(3) 序盤の速攻45"")"	C	居飛車, 振り飛車		1976年12月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-620007-3093.htm"",""ミニミニブックシリーズ 将棋教室(7) 必勝角換わり戦法"")"	C	角換わり, 居飛車, 横歩取り		1979年1月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/321/4-321-55213-3.htm"",""内藤国雄の次の一手シリーズ 振り飛車の攻防"")"	B	居飛車, 中飛車, 振り飛車		1980年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/0376/0376-620005-3093.htm"",""ミニミニブックシリーズ 将棋教室(5) 奇襲ヒラメ戦法"")"	C	中飛車		1978年12月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/88574/4-88574-432-6.htm"",""よくわかる矢倉戦法"")"	B	居飛車, 振り飛車, 中飛車		1971年11月	"Not
        found at Amazon.co.jp"
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/4-422-75059-3.htm"",""初段に挑戦するシリーズ(9) 徹底 ねばり勝ち将棋 あきらめずに相手を責める"")"	B	居飛車		1985年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/4-86137-015-9.htm"",""最強将棋21 右四間で攻めつぶす本"")"	B	四間飛車		2006年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0736-6.htm"",""東大将棋ブックス 矢倉急戦道場 棒銀＆右四間"")"	A	四間飛車		2002年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/02/978-4-02-100172-7.htm"",""第67期将棋名人戦七番勝負全記録 羽生、名人位死守"")"	C	横歩取り	朝日新聞文化グループ	2009年8月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-522-8.htm"",""週将ブックスオレンジシリーズ(15) 急戦でつぶせ ヤグラがなんだ"")"	A	四間飛車, 中飛車		1988年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8069/4-8069-1507-6.htm"",""初段の壁を破るシリーズ 青野の 棒銀戦法 次の一手形式で初段を突破する！"")"	C	角換わり		1988年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3236-7.htm"",""永世竜王への軌跡"")"	S	四間飛車, 角換わり		2009年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75122-1.htm"",""パワーアップシリーズ 5手詰将棋"")"	A	居飛車, 横歩取り		2009年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016170-8.htm"",""NHK将棋シリーズ 杉本昌隆の振り飛車ナビゲーション"")"	A	居飛車, 振り飛車, 四間飛車, 三間飛車		2009年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0358-7.htm"",""スッキリ明快詰将棋 初段標準の218題"")"	B			1999年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75114-6.htm"",""スーパー将棋講座 後手番一手損角換わり戦法 一気に敵陣撃破！"")"	B	角換わり, 振り飛車, 居飛車		2009年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/09/978-4-09-140637-8.htm"",""うちゅうの王"")"	D	四間飛車, 角換わり, 居飛車, 中飛車		2008年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/12/978-4-12-004028-3.htm"",""シリコンバレーから将棋を観る ─羽生善治と現代"")"	B	四間飛車		2009年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/575/978-4-575-30120-5.htm"",""棋士 羽生善治 「人類史上、最も深く考える人」の神髄"")"	[総合評価]−難易度：−写真：カラー143枚モノクロ104枚羽生ファン向き			2009年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/978-4-262-10135-4.htm"",""攻める守る 将棋 駒の使い方ドリル 駒の性能をフルに使ってライバルと差をつけよう！"")"	B			2009年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/528/978-4-528-01515-9.htm"",""電撃!! イナズマ流次の一手200題 一瞬にして妙手・悪手がわかる！ 出雲のイナズマの妙手を全公開！"")"	D			2009年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-024-3.htm"",""最強将棋21 矢倉の急所(2)"")"	S			2009年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3082-0.htm"",""週将ブックス 初段の力"")"	C		週刊将棋	2008年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3288-6.htm"",""脳トレ7手詰"")"	C			2009年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-2012-5.htm"",""詰将棋 実戦形パラダイス(2)"")"	B		詰将棋パラダイス 週刊将棋	2006年2月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3161-2.htm"",""新・東大将棋ブックス 定跡道場 先手四間VS早仕掛け"")"	A	居飛車, 振り飛車, 四間飛車		2009年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/643/978-4-643-09003-1.htm"",""第二十一期竜王決定七番勝負 激闘譜 渡辺明vs.羽生善治"")"	C	角換わり	読売新聞社	2009年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/422/978-4-422-75039-2.htm"",""強くなる将棋虎の巻 初段を目指す！"")"	B			2009年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/05/4-05-004851-5.htm"",""学研まんが 早わかり入門シリーズ (23) つめ将棋入門"")"	D		伊藤果	1983年6月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3204-6.htm"",""マイコミ将棋BOOKS 野獣流攻める右四間"")"	C	四間飛車, 居飛車, 振り飛車		2009年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/528/4-528-01512-9.htm"",""実戦型詰め将棋 三手・五手・七手詰め 知らず知らずのうちに、詰めの実力がつく！ 実戦での段級位も目に見えて上がる！"")"	C			2006年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/05/4-05-004880-9.htm"",""学研まんが 早わかり入門シリーズ (24) 将棋つぎの一手入門"")"	C		伊藤果	1983年10月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/14/978-4-14-016173-9.htm"",""NHK将棋シリーズ 森下卓の矢倉をマスター"")"	C	四間飛車, 中飛車, 居飛車		2009年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/978-4-262-10134-7.htm"",""いちばんやさしい7手からの詰将棋 長手詰めでもラクラク解いて棋力をUP!"")"	B			2009年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-022-9.htm"",""最強将棋21 矢倉の急所 【4六銀・3七桂型】"")"	A			2008年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8197/4-8197-0168-1.htm"",""メキメキ将棋上達本 ラクラク詰将棋(2) 基本手筋集"")"	B		日本将棋連盟書籍	2005年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0077-9.htm"",""矢倉3七銀分析【上】"")"	S			1999年4月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3160-5.htm"",""マイコミ将棋BOOKS とっておきの右玉"")"	B	四間飛車, 中飛車, 居飛車, 角換わり, 三間飛車, 振り飛車		2009年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-668-2.htm"",""実力三段特訓コース"")"	C		週刊将棋	1997年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3136-0.htm"",""マイコミ将棋BOOKS 矢内理絵子の振り飛車破り"")"	B	四間飛車, 居飛車, 振り飛車		2009年9月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10131-2.htm"",""3・5・7手実戦型詰将棋"")"	B			2006年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/09/4-09-220092-7.htm"",""小学館入門百科シリーズ(92) 将棋つぎの一手"")"	B			1980年12月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/262/4-262-10130-4.htm"",""九級から初段まで 実戦式 詰め将棋 10の手筋で初段になる"")"	C		中原誠	2005年3月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-667-4.htm"",""実力二段特訓コース"")"	C		週刊将棋	1996年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/978-4-8399-3116-2.htm"",""マイコミ将棋文庫SP 新5手7手詰めパラダイス"")"	B		詰将棋パラダイス 週刊将棋	2009年1月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/09/4-09-220087-0.htm"",""小学館入門百科シリーズ(87) 詰め将棋100問 詰め将棋を勉強して、寄せの名手になろう！"")"	B			1980年7月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/89563/4-89563-666-6.htm"",""実力初段特訓コース"")"	C		週刊将棋	1996年11月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/8399/4-8399-0546-0.htm"",""新7手詰めパラダイス"")"	B		詰将棋パラダイス 週刊将棋	2001年5月	
"=HYPERLINK(""https://rocky-and-hopper.sakura.ne.jp/Kisho-Michelin/86137/978-4-86137-019-9.htm"",""最強将棋21 相振り飛車を指しこなす本(3)"")"	B	振り飛車, 三間飛車		2008年1月	
